Name	ID	Organism	log2FoldChange	Base
C1QB	ENSG00000173369	Homo sapiens	0.44754321765143934	AC/HC Precursor
C1QB	ENSG00000173369	Mus musculus	-0.2665614490233429	Muller Glia
C1QB	ENSG00000173369	Macaca fascicularis	-0.08968830907393843	Horizontal Cell
C1QB	ENSG00000173369	Macaca fascicularis	-0.873617833185773	Melanocyte
C1QC	ENSG00000159189	Homo sapiens	12.444132659796985	Microglia
C1QC	ENSG00000159189	Homo sapiens	11.070592933560066	Macrophage
C1QC	ENSG00000159189	Macaca fascicularis	11.682744411165963	Microglia
C1QC	ENSG00000159189	Macaca fascicularis	11.362241166873348	Macrophage
C1QC	ENSG00000159189	Mus musculus	9.532428398690035	Microglia
C1QC	ENSG00000159189	Mus musculus	7.700598326974201	Macrophage
C1QC	ENSG00000159189	Homo sapiens	-1.8642180959809327	Amacrine Cell
C1QC	ENSG00000159189	Macaca fascicularis	-2.363208612566495	Retinal Ganglion Cell
C1QC	ENSG00000159189	Homo sapiens	-2.4699674138646306	RPC
C1QC	ENSG00000159189	Mus musculus	-2.721838058439291	Cone
C1QC	ENSG00000159189	Homo sapiens	-1.239782455723793	Muller Glia
C1QC	ENSG00000159189	Mus musculus	-2.2590154715867583	Rod
C1QC	ENSG00000159189	Mus musculus	-2.2807049880889045	Horizontal Cell
C1QC	ENSG00000159189	Homo sapiens	-1.3863056064556982	Cone
C1QC	ENSG00000159189	Macaca fascicularis	-2.394731289879828	Pericyte
C1QC	ENSG00000159189	Homo sapiens	-1.5364343933851121	Horizontal Cell
C1QC	ENSG00000159189	Mus musculus	-1.662607394386141	Retinal Ganglion Cell
C1QC	ENSG00000159189	Homo sapiens	-1.7231986922084355	Rod Bipolar Cell
C1QC	ENSG00000159189	Mus musculus	-1.6410669226923242	Neurogenic Cell
C1QC	ENSG00000159189	Homo sapiens	-0.7546601478048215	Bipolar Cell
C1QC	ENSG00000159189	Mus musculus	-1.2268436288263742	Bipolar Cell
C1QC	ENSG00000159189	Mus musculus	-1.4294224106957938	RPC
C1QC	ENSG00000159189	Homo sapiens	-0.6813679909985021	Retinal Ganglion Cell
C1QC	ENSG00000159189	Macaca fascicularis	-1.8585644332228222	Cone
C1QC	ENSG00000159189	Macaca fascicularis	-1.4591327739111632	Rod
C1QC	ENSG00000159189	Homo sapiens	-0.6833828270627277	Melanocyte
C1QC	ENSG00000159189	Homo sapiens	-1.1930445786591934	AC/HC Precursor
C1QC	ENSG00000159189	Mus musculus	1.6791895323489339	Melanocyte
C1QC	ENSG00000159189	Homo sapiens	-0.37027198401037065	Rod
C1QC	ENSG00000159189	Mus musculus	-0.989832153162217	AC/HC Precursor
C1QC	ENSG00000159189	Mus musculus	-0.8106640635726448	Amacrine Cell
